"ID","MonthlyIncome"
871,5667.41190130861
872,2877.69868860754
873,12719.8015172387
874,2310.95278122205
875,2726.66941100097
876,5261.31587192886
877,5192.23214621807
878,2114.69315930909
879,2851.34741294478
880,13658.7693961377
881,9787.54946855228
882,2803.40403507846
883,5723.34598924136
884,5325.26455552994
885,5695.49059829296
886,5453.01828223636
887,5779.57848214564
888,5754.34991693262
889,4701.01286922032
890,2624.96821453486
891,4521.58195749479
892,9210.68438545363
893,8853.3389041384
894,5468.68904152354
895,10188.1067967139
896,9240.70740935369
897,8798.38306741843
898,15964.1439305187
899,5778.37705773526
900,2706.05320149754
901,2552.28305566776
902,5444.19884707245
903,5917.31399923602
904,2631.10857000716
905,16288.176749365
906,5300.99029235568
907,9437.52218742304
908,5662.77642314123
909,2522.25842480661
910,2509.44514659786
911,19269.7610757979
912,2678.62280627033
913,2745.31373972786
914,12952.5621503651
915,5757.76376661439
916,4138.68827560169
917,2725.81695482121
918,5355.61333699507
919,2544.94047615664
920,2940.0621765923
921,2400.9168134725
922,2377.68720393827
923,4401.47114208397
924,4167.32556635567
925,17365.696904867
926,3072.70779241182
927,5578.95369291156
928,13017.8354758008
929,2020.91996743208
930,2498.63641202113
931,5658.84170970522
932,12867.8533974505
933,8822.23117979049
934,2300.46828506091
935,2182.09650171431
936,2212.16757578655
937,9254.18895903551
938,9179.07111107162
939,4835.84649008369
940,2397.63486127746
941,3202.39437292199
942,9068.96631227251
943,9811.28162586103
944,5454.7602022342
945,2227.74161899485
946,5595.19194313944
947,2249.81675861163
948,2741.87465027527
949,2535.88472409095
950,5361.09123468442
951,2934.35922850037
952,5494.71853122273
953,5775.97787365106
954,2518.14751800989
955,3957.11839015739
956,7627.0247284223
957,10261.1679541692
958,2407.47981256945
959,9646.8008854951
960,19558.2172205728
961,2898.4325506817
962,4704.09150694201
963,5659.83126354375
964,4576.08907126967
965,2620.20890113359
966,19196.4313788461
967,2671.18319983058
968,8730.03022212271
969,16784.575675922
970,2581.11336687993
971,5708.3910572808
972,5635.25076468248
973,2319.49941387909
974,2727.17207472778
975,5727.28488790431
976,2700.12789855739
977,6179.54380414313
978,2631.96813605621
979,9176.39220255996
980,19043.2502824218
981,2795.79080139517
982,9176.67261910152
983,2661.80057895038
984,2500.81507558583
985,5569.04785081052
986,2799.71298063017
987,2630.51998099266
988,5495.27581768712
989,9263.43153948029
990,2714.95292494009
991,4769.64180178237
992,2832.70741425353
993,4700.18730072241
994,5300.6323541767
995,5181.91335042004
996,4892.8498099217
997,2739.79852630545
998,16618.3395073476
999,8936.62190607644
1000,2210.20159841119
1001,4822.5342944574
1002,4396.59758180002
1003,4619.54319704409
1004,6131.80504197967
1005,2994.39324686996
1006,5851.27696930534
1007,2420.90889031916
1008,5639.66293168385
1009,19648.310636806
1010,4665.65678412179
1011,9214.54923383315
1012,4777.4719976654
1013,5689.29521736637
1014,4248.36340905011
1015,5532.01109592756
1016,2831.31456003602
1017,2582.70541954844
1018,8867.61047721568
1019,9012.0977295413
1020,2009.26832572343
1021,5568.67195028807
1022,5341.08064107922
1023,4459.10368467641
1024,9602.1669785127
1025,16127.7752955088
1026,18496.1136937511
1027,4819.89167756392
1028,5449.03895442925
1029,5370.18058661009
1030,8688.85890673329
1031,5335.75214662522
1032,2927.91529315712
1033,12273.5898255592
1034,2482.55193522156
1035,4314.76422811277
1036,2783.62900549429
1037,5636.97374512765
1038,8163.9389542112
1039,12444.5408467432
1040,5732.66056998133
1041,2263.21686185215
1042,3222.04821999774
1043,8781.77615171316
1044,6170.74591110915
1045,2428.01401321311
1046,2165.22635686008
1047,5536.56269217482
1048,12338.9835321394
1049,2664.31549919108
1050,5447.77418479536
1051,9906.41827668463
1052,2406.06569479075
1053,5740.7264670527
1054,2725.86518387004
1055,2718.36941007717
1056,2681.40725364022
1057,5478.33247584564
1058,15856.3777988959
1059,4991.83302602758
1060,2804.35337739039
1061,4638.89354015985
1062,5453.58228916837
1063,6056.41517314374
1064,2265.09853922362
1065,5325.80321861242
1066,2419.33622468929
1067,3373.15386716466
1068,19553.5880948118
1069,5151.51680018739
1070,2288.25139405694
1071,2501.86953369987
1072,5929.72079157484
1073,2258.84432060124
1074,5868.03965799689
1075,5578.96091146463
1076,16118.7112789697
1077,19247.013706975
1078,4287.26679965974
1079,4520.61096915802
1080,4836.60281566133
1081,2864.8960531914
1082,2716.77429999367
1083,2125.8607727854
1084,5766.47304239873
1085,8630.38430049624
1086,9069.88241711791
1087,5499.17642160923
1088,2799.99523172762
1089,2663.80795853198
1090,5358.74843279588
1091,5330.04073952642
1092,5371.500572628
1093,12374.6082606747
1094,5322.87830346302
1095,5105.13901966163
1096,5489.33423091887
1097,3203.45608297692
1098,2653.69977849068
1099,2614.99094201762
1100,5562.17640648255
1101,18908.6990405245
1102,5688.37419316756
1103,5919.50801975148
1104,9946.78330976769
1105,2870.02944928255
1106,2567.80248425958
1107,2926.33738776746
1108,4772.85746443157
1109,5372.52056926728
1110,5375.97174945889
1111,5624.51237249353
1112,12563.4997324606
1113,12728.5446379086
1114,5983.69651051847
1115,9659.1831294249
1116,2677.77698010418
1117,6074.55150785531
1118,4354.74503439076
1119,9630.42623585671
1120,2494.8375827847
1121,9239.60097557118
1122,16311.2031504002
1123,4682.47177903237
1124,16226.6568871695
1125,2799.96781426631
1126,2257.19405722842
1127,2414.40085472501
1128,4471.2513248586
1129,15655.8744949819
1130,2346.73607972499
1131,12290.8506725013
1132,16170.3361145519
1133,5598.79302537287
1134,2188.03953509763
1135,2690.48267937755
1136,2367.15141087063
1137,3039.86879095039
1138,5458.562648192
1139,9200.09947286711
1140,15982.690393825
1141,5745.09900436965
1142,5546.09064975895
1143,9771.36823420552
1144,5366.41287181331
1145,4557.8208829327
1146,5463.50784553122
1147,4212.9961206216
1148,2534.54581651355
1149,2784.17378953035
1150,5642.99710521184
1151,2417.27762045833
1152,5638.53316092771
1153,5119.39851921732
1154,2368.84408954993
1155,5831.76113441518
1156,13053.0433500672
1157,2378.53341749446
1158,4709.10102872511
1159,2683.83263895636
1160,5599.71095436564
1161,2718.51346838294
1162,8749.2976929515
1163,2563.73747730885
1164,9009.86389635759
1165,2623.89173444265
1166,2025.48089215947
1167,9365.8802966895
1168,5641.99663412229
1169,2874.36639645835
1170,2725.66481707558
